Team,Season,Matches,Wins,Draws,Losses,GoalsFor,GoalsAgainst,Points,WinRate,PointsPerGame,GoalDifference,AvgAttendance,TotalAttendance,MatchesWithAttendance,AvgxG,AvgxGA,AvgPossession,AvgGoalsFor,AvgGoalsAgainst,TotalGoals,TotalAssists,TotalxG,TotalxAG,PlayerCount,AvgAge
Real Madrid,2020-21,38,25,9,4,67,28,84,0.6578947368421053,2.210526315789474,39,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Real Madrid,2021-22,38,26,8,4,80,31,86,0.6842105263157895,2.263157894736842,49,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Real Madrid,2022-23,38,24,6,8,75,36,78,0.631578947368421,2.0526315789473686,39,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Real Madrid,2023-24,38,29,8,1,87,26,95,0.7631578947368421,2.5,61,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Real Madrid,2024-25,38,26,6,6,78,38,84,0.6842105263157895,2.210526315789474,40,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Real Madrid,2025-26,10,9,0,1,22,10,27,0.9,2.7,12,45751.7223796034,16150358.0,353.0,1.8456762749445677,1.011529933481153,59.80266075388027,2.011086474501109,0.8048780487804879,31.0,22.0,29.4,19.7,223.0,26.58744394618834
Getafe,2019-20,38,14,12,12,43,37,54,0.3684210526315789,1.4210526315789473,6,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2020-21,38,9,11,18,28,43,38,0.23684210526315788,1.0,-15,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2021-22,38,8,15,15,33,41,39,0.21052631578947367,1.0263157894736843,-8,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2022-23,38,10,12,16,34,45,42,0.2631578947368421,1.105263157894737,-11,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2023-24,38,10,13,15,42,54,43,0.2631578947368421,1.131578947368421,-12,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2024-25,38,11,9,18,34,39,42,0.2894736842105263,1.105263157894737,-5,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Getafe,2025-26,10,4,2,4,10,12,14,0.4,1.4,-2,19333.371104815866,6824680.0,353.0,0.9767184035476718,1.160532150776053,42.7649667405765,0.9379157427937915,1.1286031042128604,10.0,4.0,14.6,8.6,232.0,26.08189655172414
Barcelona,2019-20,38,25,7,6,86,38,82,0.6578947368421053,2.1578947368421053,48,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2020-21,38,24,7,7,85,38,79,0.631578947368421,2.0789473684210527,47,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2021-22,38,21,10,7,68,38,73,0.5526315789473685,1.9210526315789473,30,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2022-23,38,28,4,6,70,20,88,0.7368421052631579,2.3157894736842106,50,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2023-24,38,26,7,5,79,44,85,0.6842105263157895,2.236842105263158,35,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2024-25,38,28,4,6,102,39,88,0.7368421052631579,2.3157894736842106,63,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Barcelona,2025-26,10,7,1,2,25,12,22,0.7,2.2,13,44449.26912181303,15690592.0,353.0,1.9583148558758317,1.0082039911308203,65.42128603104213,2.1507760532150777,0.9423503325942351,48.0,34.0,40.3,30.400000000000002,251.0,23.641434262948206
Sevilla,2019-20,38,19,13,6,54,34,70,0.5,1.8421052631578947,20,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2020-21,38,24,5,9,53,33,77,0.631578947368421,2.026315789473684,20,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2021-22,38,18,16,4,53,30,70,0.47368421052631576,1.8421052631578947,23,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2022-23,38,13,10,15,47,54,49,0.34210526315789475,1.2894736842105263,-7,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2023-24,38,10,11,17,48,54,41,0.2631578947368421,1.0789473684210527,-6,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2024-25,38,10,11,17,42,55,41,0.2631578947368421,1.0789473684210527,-13,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Sevilla,2025-26,10,4,1,5,17,16,13,0.4,1.3,1,31424.335211267604,11155639.0,355.0,1.2401330376940132,1.175831485587583,55.46119733924612,1.3170731707317074,1.1330376940133038,11.0,9.0,16.5,10.7,235.0,25.97872340425532
Real Sociedad,2019-20,38,16,8,14,56,48,56,0.42105263157894735,1.4736842105263157,8,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
